x,y,z
-43165.30382736908,19547.28757533027,6271.515663325192
-8768.324585008904,-94549.0358160593,8978.325446696708
-129925.1301034993,-21941.01515022491,49171.84556958378
-45361.40953511032,-45020.4467658902,7669.190996843661
-125956.5695408846,-45121.20604229505,28295.58895254699
-81892.91859251118,-39288.02782718027,11505.19191406743
-51848.47041957694,-51413.5464970511,7583.218918192012
-65078.8705533015,35222.39921303375,6341.72772025107
-105002.3854460597,-99962.20451682201,6287.721222712471
-186647.7509841126,-73369.05840519727,27035.96558225268
-121507.7248633686,-65508.97012528531,21428.35275026347
-113449.2601897602,-19305.46213634106,12293.46734231897
-15204.45125581577,-82959.89508240347,8874.742596017401
-137602.7467098782,-29646.4715417261,35489.37178750737
-54622.6594567807,-128666.8085668834,1777.755493164063
-121974.1082690537,-44721.32697954947,31900.587890625
-105490.1649034525,-18781.09210061227,13744.60339747378
-61169.23760335227,3399.636029056933,6421.602425112679
-141016.9925174635,-80814.30593139029,18590.2860191894
-129679.3969625653,-22447.53322103267,47728.88390678407
-155577.2826589742,-67918.74324999038,18362.017578125
-181877.008989618,-65870.16624229532,26616.5311460809
-137920.6262030638,-106270.1479314387,7017.825526343087
-67862.03183342516,-79930.12326835026,1777.755493164063
-136507.2784814498,-60476.9514763018,6356.877133378906
-155905.252660507,-46993.38786829025,28259.57277366045
-28602.01751995795,-81104.53975018757,1777.755493164062
-117783.3839498648,-35572.61826016955,11604.91816232568
-120440.0984808355,-118167.4607480768,1777.755493164063
-111716.4771134466,-106133.0296951042,6303.044567925168
-141355.9274875447,-84089.59596788112,15191.35540886969
-142068.2319996693,-38764.18231090967,6440.94873046875
-97160.36186912982,-40575.34828502781,27872.96617197441
-103814.414146315,-108417.0952330857,1777.755493164063
-65082.73701430968,-68568.26271779375,6941.612180709934
-40910.3916472554,-23060.04279832849,7069.577118785365
-141867.9344757203,-74370.22553975604,25168.22546641405
-174173.6873811653,-84417.02966964176,20236.8492693568
-92891.81440109191,-8487.139217998256,6396.056699306233
-48083.56371147565,-113614.1771622248,1777.755493164063
-142173.4403429352,-111893.6909213655,6225.130919182213
-105487.9356297025,14110.02032583961,6337.215947221026
-26803.57272306002,-21358.89348500119,7079.958701751293
-108386.5562420492,-72984.13826235119,28101.60546875
-30399.20494639101,-39488.22034569352,7575.535719671558
-48508.26087255418,-66399.31685226964,7981.463142657836
-112874.2865855056,-32490.05171181774,6440.94873046875
-114566.9211884801,-17076.21219495191,48838.98828125
-169904.1140464673,-14839.71957104069,10420.7249948581
-25027.45449799727,-64851.43831037027,5339.172503601147
-71985.47378240307,-66403.317962382,6690.541589410369
-111484.6363284921,-82192.58682493797,6436.35498046875
-106933.6417298201,-75656.05029498067,22669.38030996492
-75046.27105257975,-47315.888435693,7215.856485207361
-73446.58682361987,-111326.5403549379,1777.755493164063
-153927.8211312711,-54276.56869963648,25661.50246410751
-100295.3854101873,-24278.36542931577,41580.375
-86454.1360979929,10890.14092636196,6255.294416596186
-5612.118544798678,-75735.91092180477,1777.755493164063
-49753.45586509344,-102113.600715767,1777.755493164063
-155327.8289643985,-37247.41476800996,6440.94873046875
-77184.53197593315,-127963.4741115543,1777.755493164063
-158656.3490672101,5230.671572095195,6440.94873046875
-120572.3158861109,7741.676246490464,11599.84868301715
-105082.4495671984,13550.78447765575,6336.113280165228
-96619.09979291083,-8891.187376653605,6401.987245214271
-128184.3194890925,-72433.35817077807,23488.59877499752
-84293.35903544459,-70945.5456590057,6430.412989964963
-108343.4795611281,10183.47004517864,30129.8763259911
-91467.34682757301,-144279.6634198394,1777.755493164063
-119009.833117266,-17804.39290008554,22158.57471851344
-118647.1413344425,-17628.4370745112,21090.57192355338
-33537.14424829653,-62153.40490999032,8229.531192015469
-165675.7796458512,-25982.08543923736,6440.94873046875
-138106.8388395721,-28170.33986221925,49846.3515625
-123807.8202029794,-83731.90353300776,6335.543663871878
-107876.7323950139,19382.49164613355,6359.32506557729
-20738.11405143653,-105481.4600546025,9019.002629674162
-37968.60409581125,-29331.64591955819,7277.170257684697
-73543.59840184175,-122078.136974104,1777.755493164063
-105681.7861695372,-22916.10859256774,6505.97246727295
-121537.1051362798,-19030.47031207888,38188.56358140839
-7185.337852355912,-85737.56613679224,1777.755493164063
-72708.27009453344,-92545.26386931023,1777.755493164063
-109261.3047839797,-24307.80344662992,14008.556640625
-12120.71906135063,-100735.94612494,9026.210966457495
-81056.78947169578,-38262.28020324509,15967.43048149012
-172600.2076646721,-84118.72094020684,19775.91043610571
-73549.7151286702,2134.811916940736,6333.754790963705
-42443.64696154161,-95078.3257693917,8949.662731591523
-146003.0420163988,-51940.76011765938,6036.7138671875
-77077.36407103075,-50546.04421105052,19693.15524664427
-32148.12285367578,-85050.65393751739,8753.729595377952
-48267.79087180521,-29377.26156538505,7192.416490533597
-115818.8797249783,13949.65098294574,20759.83017753769
-58106.2965322166,3850.369186157955,6429.248658222048
-158976.1348066406,-34163.44357799279,6440.94873046875
-155248.7956717042,-53247.63828791997,24119.62511009163
-102021.3713147366,-26156.27989421775,39643.93359375
-31193.04707168568,-111401.1346866953,8918.184607629992
-146809.4882634326,-30429.07037487409,46391.36328125
-36051.75530499829,-106114.2139852765,9045.198908480612
-113349.0425591719,-19903.45776472061,20126.80320856818
-109529.1772498597,17123.27309014761,6390.535539147087
-152422.0476064641,-32545.24047316758,41617.7963541971
-113849.5415368772,15056.78908919814,6440.94873046875
-124839.3091921454,-58247.01621798244,29126.63336625991
-75149.83103004412,12161.73711226921,6311.222725681425
-178445.7493966228,-7266.930739902532,6440.94873046875
-175941.0874729971,-40315.15273851906,18362.017578125
-103828.6061415974,-17308.12331283825,25474.23137471351
-21095.57537851212,-51928.16506021467,7903.776558180661
-145596.12492084,-59564.75597278074,22737.96221752755
-92729.19524459931,-26945.95761012809,7440.693311755338
-33128.33737112297,-67702.98151428669,4514.432863730862
-164440.3747390067,-20609.54293747313,46391.36328125
-46150.35006313611,-83823.68761039776,8603.699123494675
-82061.74105153845,-24200.03307754832,6604.996593212229
-102271.3632756776,-2332.772835676058,13263.40872415295
-167341.4735223382,7370.350074030295,6934.353076301388
-102633.9188199855,-12681.73114196127,32198.35151240097
-144809.4997463248,-19009.7702743804,37646.58099011353
-95582.53487312203,35343.54417197011,6352.419263200023
-140413.6099515165,-75347.35621743169,22313.90874797395
-49003.7592343197,35307.63248999022,6257.888562390488
-94201.33761843992,-28144.92840083034,9563.565772228785
-127546.511157207,-10634.82486581015,18512.42551904162
-64751.13192725332,-51737.53788141836,7280.92036070251
-112784.5049621081,-84173.46315795819,10104.4052734375
-41165.24307810118,-73067.02666199677,4711.78724893994
-108921.3935689215,-11899.93183173334,46391.36328125
-98534.77845698694,-25836.02693809893,42433.83982289984
-57055.07215717567,-12244.5048219062,6711.085211304348
-122252.6695587112,-64738.57961360228,11404.70576510978
-127286.8280063527,-14187.03484548385,46391.36328125
-95678.63327413131,-99264.89799483337,1777.755493164063
-114486.8754673276,-20603.19696211284,47234.00852612393
-110130.8322795655,-77241.1501465342,6069.218863255267
-146791.7631986263,-893.4603124789818,6440.948730468749
-39085.85265777646,-98451.49366082257,9019.323228724639
-19349.97340131644,-66546.96557846273,8353.010841521564
-112735.1487241925,-24213.97774042546,28298.50075251914
-149024.1904455582,-61607.15492161274,18905.88818386706
-135521.6519886499,-65425.37788103503,28232.58227493418
-138087.6331925014,-61356.33782734392,27896.35110621563
-83385.09518659569,-30438.29224671357,6856.655299088408
-81652.43086851793,-43176.96572244289,19244.34375
-104413.8012672667,-13545.22221411761,7776.26682061981
-21883.32831050613,-53768.4734596393,2752.173320319864
-100811.2177210525,-83626.84047096307,6122.767791461675
-114930.9328924961,-18393.48579148665,46391.36328125
-114189.4206962432,-17779.79320280055,32331.32714973037
-53384.30652404143,-110562.1633100711,1777.755493164063
-114189.1108435878,-77379.9249938633,6049.125360555357
-35722.40842378501,-113222.0323537674,6398.858199623228
-159825.8973020092,3279.804162359341,6440.94873046875
-145518.4636547622,-30664.75999748372,42114.60907937754
-132608.3132197449,-103475.4598397752,6223.02430681172
-187298.8601104271,-6156.006267476622,6440.94873046875
-168527.7037408699,-83986.93222988358,19985.65816498983
-91547.40350368005,-64248.89839954597,20929.513671875
-111235.618245804,-95157.67924917108,6135.111742449532
-33654.88703082778,-48239.12492209713,7883.663924856297
-129454.9551025214,-69980.14567309382,22417.21479987293
-128018.7471567796,-10863.924737527,18122.65918819152
-100119.0427973123,-113495.1505477815,1777.755493164062
-45950.53739961441,-31148.34479367114,7284.942346930122
-144527.6224879901,-33564.32851533015,6440.94873046875
-86359.57052420527,-54983.65426873368,22202.705078125
-91106.77321353092,-94405.16320629724,1777.755493164063
-127094.7103627679,-96263.94856844214,6265.402427267485
-68407.65142571915,-66256.71725467466,6806.902101358417
-56640.09185709771,33524.93982549758,6296.849706799482
-168304.7628139377,9355.950297542486,45292.38636867407
-36356.80576075921,-80095.13105245902,6503.121113535197
-100381.6486484599,-21904.78980696131,11538.47958085879
-118291.1770945201,3039.64709911547,19424.89547390385
-30057.81082312134,-100734.3546334377,6851.477467327186
-122595.1620920515,-129819.0321343008,1777.755493164063
-76943.07350321781,-33691.24950317241,6850.69139725682
-114414.5303146014,15022.12338605054,6440.94873046875
-110995.2884160603,-75772.29980249557,6141.919302252435
-80839.13458580826,-28608.94678945724,6855.598593815436
-97220.19239743688,-20455.43461960433,6561.778458753053
-168401.5591213293,-68713.040031379,25748.1685920074
-160396.669494903,-42509.41056476303,16741.47290680541
-134135.9035879608,-13831.59337184507,43271.0190442688
-66501.49821390923,-60601.82625202184,7119.689756007647
-26644.57578563928,-13806.01346213105,6899.928869088973
-126044.1802335883,-78100.3207324313,12834.39365305473
-67499.39533449698,-50857.07606925468,7220.341327080811
-178369.8887259936,-27789.00212463042,6332.7099609375
-26115.97995659676,-58286.93209230098,3297.502699950973
-103191.5783476468,-16999.07778518847,23111.43161266861
-34600.16624008986,-22105.10656578789,7071.624084771042
-106643.2795823317,6678.910203701645,24905.01829994799
-103563.3827443317,-89065.636280334,6147.009410915392
-97657.72546490698,-89028.47511984875,6148.437415844577
-98671.86527578486,-9752.285441885328,6476.711329106592
-95921.82408089207,-28977.32708026473,13079.82829025024
-78895.20123831513,-42488.78185845367,19095.73701178146
-41015.43558128338,-71893.34945921339,4440.27131975968
